BP;smiles
313;C=C=C=C=C
234;C=C
264;C=C-C
287;C=C-C-C
245;C-C
268;C-C-C
291;C-C-C-C
461;C=C=C=C=C1CCCCC1
460;C=C=C=C=C1C=CCC=C1
534;C=C=C=C=c1ccc(=C=C=C)cc1
679;C(/CC1CCCCCCC1)=C/2CCCCCCC2
536;CCCC/C=C\1CCCCCCC1
496,7;C=CC2CCC(C1CCCC1)C2
518;C=CC2CCC(C1CCCC1)C2=C
549;C=CC2CCC(C1CCCC1)C2=C-C
568;C=CC2CCC(C1CCCC1)C2=C-C=C
599;C=CC2CCC(C1CCCC1)C2=C-C=C-C
626;C=CC2CCC(C1CCCCC1)C2=C-C=C-C
649;C=CC2CCC(C1CCCCC1)C2=C-C=C-C-C
668;C=CC2CCC(C1CCCCC1)C2=C-C=C-C-C=C
748;C=CC2CCC(C1CCCCC1)C2=C-C=C-C-C=C-N
749;C=CC2CCC(C1CCCCC1)C2=C-C=C-C-C=C-N-C
591;C=CC2CCC(C1CCCCC1)C2-N
582;C=CC2CCC(C1CCCCC1)C2-S
611;C=CC2CCC(C1CCCCC1)C2-O
564;C=CC2CCC(C1CCCCC1)C2-O-C
595;C=CC2CCC(C1COCCCC1)C2-O-C
626;C=CC2CCC(C1COCCOCC1)C2-O-C
658;C=CC2CCC(C1COCCOCOC1)C2-O-C
680;C=COC2CCC(C1COCCOCOC1)C2-O-C
703;C=COC2CCC(C1COCCOCOC1)C2-O-C-C
772;C=COC2CCC(C1COCCOCOC1)C2OCO
824;C=COC2CSCC(C1COCCOCOC1)C2OCO
876;C=COC2CSCC(C1COCCOSCOC1)C2OCO
929;C=COC2CSCC(C1COCCOSCOSC1)C2OCO
334;C=CO
304;C=CS
333;C=CS-C
356;C=CS-C-C
429;C=CS-C-C-N
429,6;C=CS-C-C-N-C
452;C=CS-C-C-N-C-C
472;C=CS-C-C-N-C-C=C
502;C=CS-C-C-N-C-C=C-C
565;C=CS-C-C-N-C-C=C-C-S
594;C=CS-C-C-N-C-C=C-C-S-C
686;C=CS-C-C-N-C-C=C-C-S-C-O
689;C=CS-C-C-N-C-C=C-C-S-C-O-N
326;C=CC(=C)C=C
357;C=CC(=C)C=C-C
376;C=CC(=C)C=C-C=C
407;C=CC(=C)C=C-C=C-C
426;C=CC(=C)C=C-C=C-C=C
525;C=CC(=C)C=C-C=C-C=CCCCC
726;C=CC(=C)C=C-C=C-C=CCCCCSSS
804;C=CC(=C)C=C-C=C-C=CCCCCSSSN
845;C=CC(=C)C=C-C=C-C=CCCCCSSSNS
943;C=CC(=C)C=C-C=C-C=CCCCCSSSNSO
986;C=CC(=C)C=C-C=C-C=CCCCCSSSNSOCOCOC
1187;C=CC(=C)C=C-C=C-C=CCCCCSSSNSOCOCOCSSS
1261;C=CC(=C)C=C-C=C-C=CCCCCSSSNSOCOCOCSSSCCC
1462;C=CC(=C)C=C-C=C-C=CCCCCSSSNSOCOCOCSSSCCCSSS
376;C=CC(=C)C=C-C=C
447;C=CC(=C)C=C-C=C-S
515;C=CC(=C)C=C-C=C-S-S
682;C=CC(=C)C=C-C=C-S-S-CCCO
681;C=CC(=C)C=C-C=C-S-S-CCCOCCC
818;C=CC(=C)C=C-C=C-S-S-CCCOCCCOOO
817;C=CC(=C)C=C-C=C-S-S-CCCOCCCOOOCCC
391;C=CC(=C)C=N
